Número do Hino,Nome do Hino
1,Aleluia! Aleluia
2,Toda a glória a Jesus
3,Ação de graças darei
4,Glória glória nas alturas
5,Majestoso é Cristo Jesus
6,A Jesus eu cantarei louvor
